runID,mode,seedUsed,t,simT,wip,out,throughputPerHour,avgLead,avgTard,energy,co2,epp,cpp
118305,FLOW,1,301.0000,1.0000,474,0.00,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000
118305,FLOW,1,302.0000,2.0000,477,1.00,30.0000,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,303.0000,3.0000,478,1.00,20.0000,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,304.0000,4.0000,482,1.00,15.0000,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,305.0000,5.0000,481,1.00,12.0000,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,306.0000,6.0000,485,1.00,10.0000,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,307.0000,7.0000,485,1.00,8.5714,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,308.0000,8.0000,489,1.00,7.5000,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,309.0000,9.0000,489,1.00,6.6667,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,310.0000,10.0000,493,1.00,6.0000,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,311.0000,11.0000,493,1.00,5.4545,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,312.0000,12.0000,497,1.00,5.0000,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,313.0000,13.0000,497,1.00,4.6154,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,314.0000,14.0000,501,1.00,4.2857,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,315.0000,15.0000,500,1.00,4.0000,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,316.0000,16.0000,504,1.00,3.7500,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,317.0000,17.0000,504,1.00,3.5294,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,318.0000,18.0000,508,1.00,3.3333,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,319.0000,19.0000,508,1.00,3.1579,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,320.0000,20.0000,512,1.00,3.0000,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,321.0000,21.0000,512,1.00,2.8571,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,322.0000,22.0000,512,1.00,2.7273,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,323.0000,23.0000,513,1.00,2.6087,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,324.0000,24.0000,512,1.00,2.5000,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,325.0000,25.0000,512,1.00,2.4000,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,326.0000,26.0000,511,1.00,2.3077,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,327.0000,27.0000,511,1.00,2.2222,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,328.0000,28.0000,511,1.00,2.1429,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,329.0000,29.0000,511,1.00,2.0690,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,330.0000,30.0000,511,1.00,2.0000,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,331.0000,31.0000,511,1.00,1.9355,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,332.0000,32.0000,511,1.00,1.8750,293.4133,0.0000,1.971500,0.591450,1.971500,0.591450
118305,FLOW,1,333.0000,33.0000,510,2.00,3.6364,308.1210,0.0000,3.816460,1.144938,1.908230,0.572469
118305,FLOW,1,334.0000,34.0000,511,2.00,3.5294,308.1210,0.0000,3.816460,1.144938,1.908230,0.572469
